side,metric,sample_index,value_ms,status,note
nextjs,sort_settled_ms,1,141,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,2,161,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,3,453,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,4,114,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,5,120,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,6,106,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,7,131,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,8,132,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,9,133,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,10,181,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,11,105,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,12,124,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,13,116,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,14,106,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,15,107,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,16,133,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,17,168,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,18,134,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,19,138,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,sort_settled_ms,20,130,included,MessageChannel-driven detection; rows-container scope; quiet>=250ms
nextjs,page_jump_settled_ms,1,102,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,2,125,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,3,391,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,4,175,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,5,117,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,6,137,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,7,144,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,8,137,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,9,124,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,10,294,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,11,116,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,12,206,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,13,105,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,14,148,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,15,128,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,16,137,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,17,125,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,18,119,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,19,109,included,deep jump page 1 <-> last; same probe
nextjs,page_jump_settled_ms,20,131,included,deep jump page 1 <-> last; same probe
nextjs,toggle_first_row_mutation_ms,1,12,included,click -> first mutation in clicked row
nextjs,toggle_first_row_mutation_ms,2,13,included,click -> first mutation in clicked row
nextjs,toggle_first_row_mutation_ms,3,11,included,click -> first mutation in clicked row
nextjs,toggle_first_row_mutation_ms,4,8,included,click -> first mutation in clicked row
nextjs,toggle_first_row_mutation_ms,5,12,included,click -> first mutation in clicked row
